"","site","chamber","date","pwsw","temp","cond","salinity","ph","station","ALKA","CL","DOC","LCOND","LPH","NH4","NOX","Salinity","SO4","TDN","TN","trt","mean.salinity","srp.um.l","tdp.um.l","srp.ppb","tdp.ppb"
"127","BW",16,2014-12-17,"PW",28.302,20.226,12.014,6.616,"BW-P-16",291,8818,85,NA,7.43,1.629,NA,NA,807,3.86,NA,"treatment",12.39,1.398,2.313,43.3,71.63
"128","BW",16,2014-12-17,"SW",20.47,11.14,6.36,NA,"BW-S-16",194,4128,98,NA,8.07,0.108,NA,NA,201,2.98,NA,"treatment",6.36,NA,NA,NA,NA
"129","BW",16,2014-12-17,"SW",20.47,11.14,6.36,NA,"BW-S-16",194,4128,98,NA,8.07,0.108,NA,NA,201,2.98,NA,"treatment",6.36,0.193,0.367,5.98,11.37
"130","BW",16,2015-01-14,"PW",28.362,21.134,12.62,6.658,"BW-P-16",277,6920,165,NA,7.65,1.416,NA,NA,725,3.44,NA,"treatment",12.95,1.718,2.082,53.21,64.48
"131","BW",16,2015-02-11,"PW",24.6,21.97,13.216,6.664,"BW-P-16",288,7752,79.9,NA,7.45,1.445,NA,NA,745,3.73,NA,"treatment",13.98,2.027,1.852,62.78,57.36
"132","BW",16,2015-03-18,"PW",25.52,25.58,15.672,6.792,"BW-P-16",267,9471,80.6,NA,7.98,1.681,NA,NA,1093,3.81,NA,"treatment",NA,NA,NA,32.3,55.1
"133","BW",16,2015-04-15,"PW",30.78,25.6,15.514,6.92333333333333,"BW-P-16",316.21,8928.112,93.45,NA,7.55,NA,NA,NA,901.933,4.951,NA,"treatment",NA,NA,NA,77.15,89.22
"134","FW",1,2014-10-22,"SW",NA,NA,NA,NA,"FW-S-1",140,51.8,9,NA,7.77,0.025,0.005,NA,0.1,0.65,NA,"control",0.088,0,0.498,0,15.42
"135","FW",1,2014-10-22,"SW",NA,NA,NA,NA,"FW-S-1",140,51.8,9,NA,7.77,0.025,0.005,NA,0.1,0.65,NA,"control",0.094,0,0.276,0,8.55
"136","FW",2,2014-10-15,"PW",29.86,0.3816,0.182,NA,"FW-P-2",64,74.4,46.3,NA,6.43,0.209,0.006,NA,1,0.96,NA,"control",0.18,0.084,0.376,2.6,11.64
"137","FW",2,2014-10-22,"SW",NA,NA,NA,NA,"FW-S-2",139,47.7,9.8,NA,7.87,0.037,0.005,NA,0.1,0.704,NA,"control",0.086,0.007,0.327,0.22,10.13
"138","FW",2,2014-10-22,"SW",NA,NA,NA,NA,"FW-S-2",139,47.7,9.8,NA,7.87,0.037,0.005,NA,0.1,0.704,NA,"control",0.086,0.005,0.294,0.15,9.11
"139","FW",2,2014-11-19,"PW",18.98,0.6788,0.332,7.084,"FW-P-2",144,46.1,35.1,NA,7.51,0.175,NA,NA,0.2,0.73,NA,"control",0.22,0.013,0.202,0.4,6.26
"140","FW",2,2014-11-19,"SW",19.25,0.492,0.24,7.47,"FW-S-2",139,57.9,9.2,NA,7.89,0.093,NA,NA,0.1,0.645,NA,"control",0.24,0,0.327,0,10.13
"141","FW",2,2014-11-19,"SW",19.25,0.492,0.24,7.47,"FW-S-2",139,57.9,9.2,NA,7.89,0.093,NA,NA,0.1,0.645,NA,"control",0.24,0.01,0.438,0.31,13.56
